AX,AY,AZ,GX,GY,GZ,water,activity
-4600,664,-16564,-568,-8035,-1589,217,drowning
-5428,1608,-15432,-803,-6409,-1696,214,drowning
-6132,1984,-15844,222,-5992,-1988,215,drowning
-7332,1520,-15684,528,-6994,-1762,216,drowning
-7664,860,-14356,734,-5977,-1318,216,drowning
-8008,160,-13952,886,-4445,-264,216,drowning
-9284,1120,-14436,663,-5628,425,216,drowning
-9696,1136,-13572,674,-4506,149,217,drowning
-9876,864,-12280,59,-2942,-97,216,drowning
-10124,1076,-13096,-10,-1602,-285,218,drowning
-9984,1208,-13028,456,-1360,-647,218,drowning
-10140,964,-13236,140,245,-723,217,drowning
-10164,724,-13632,580,-841,-571,216,drowning
-10044,796,-12840,219,-1186,-610,216,drowning
-10264,792,-12920,401,-853,-493,217,drowning
-10612,612,-13032,-259,-833,-635,217,drowning
-10648,1128,-12756,-316,-75,-818,216,drowning
-10580,460,-12748,-125,-132,-927,218,drowning
-10552,364,-12920,46,-316,-423,217,drowning
-10416,596,-12468,-70,467,167,218,drowning
-10488,860,-13064,-264,191,20,217,drowning
-10564,1032,-12680,-78,-246,-178,218,drowning
-10452,888,-12720,43,303,-549,217,drowning
-10536,848,-12820,28,863,-501,217,drowning
-10360,480,-12884,303,845,-220,217,drowning
-10544,756,-13500,393,1045,101,218,drowning
-10120,592,-13292,392,1020,317,217,drowning
-9828,900,-13304,652,1760,547,218,drowning
-9724,608,-13780,1134,1259,562,217,drowning
-9620,936,-13056,402,1180,457,217,drowning
-9336,708,-13708,244,2036,249,217,drowning
-9368,676,-14168,930,1637,349,217,drowning
-9036,536,-12844,-19,692,-372,217,drowning
-8920,336,-13004,-694,2048,-208,217,drowning
-8752,632,-12976,-366,1850,-367,218,drowning
-8344,408,-12948,226,2632,-163,217,drowning
-8260,416,-14072,-104,1923,495,217,drowning
-8440,1004,-14408,-308,1220,260,217,drowning
-8452,508,-14564,1131,821,325,217,drowning
-8364,880,-14672,57,36,371,217,drowning
-8360,996,-14184,-505,644,74,217,drowning
-8212,1144,-14580,125,523,-76,217,drowning
-7572,772,-12676,82,913,-297,217,drowning
-7188,684,-13136,237,2496,-142,215,drowning
-6680,688,-13896,715,3505,-27,214,drowning
-6808,540,-15472,472,2478,47,213,drowning
-6740,352,-15708,255,383,308,213,drowning
-6728,872,-15248,90,680,1002,215,drowning
-7180,1388,-16200,-256,574,745,214,drowning
-7140,1560,-15236,39,-890,12,215,drowning
-6828,1224,-13256,-882,477,-574,216,drowning
-7000,584,-13348,638,312,-548,215,drowning
-7052,916,-12960,-135,1483,112,213,drowning
-7572,948,-14820,-431,1012,13,212,drowning
-7456,1188,-14216,-147,-637,28,211,drowning
-7336,1608,-14660,-1319,1484,-277,210,drowning
-7424,1380,-16072,-729,301,-60,208,drowning
-6848,1736,-15112,-189,1242,292,207,drowning
-6736,1808,-16680,574,1600,89,206,drowning
-6548,1792,-16932,173,714,-18,207,drowning
-6548,1640,-16276,-90,646,-599,207,drowning
-6376,1332,-16052,-74,1313,-824,208,drowning
-6452,1136,-16364,-57,896,-665,209,drowning
-6700,1424,-16364,114,285,-527,209,drowning
-6340,1068,-15024,-57,780,-17,210,drowning
-5860,1848,-14244,-1290,1929,152,212,drowning
-4948,1204,-11616,72,1002,-64,211,drowning
-4676,1928,-12284,-92,2761,90,210,drowning
-5724,1552,-14232,645,1277,-760,207,drowning
-6836,1388,-14388,-181,-797,-199,206,drowning
-6816,1944,-16408,935,1769,-928,203,drowning
-5060,1316,-16584,203,1985,-1328,204,drowning
-5092,1320,-19320,282,870,-602,203,drowning
-5564,1296,-18616,54,-3775,-154,204,drowning
-5556,1632,-15756,986,-3104,59,206,drowning
-6024,1432,-15796,164,-1582,-423,207,drowning
-6224,1180,-16532,-338,-1732,-430,207,drowning
-5644,1100,-14516,215,-1172,-50,208,drowning
-4908,1612,-12168,-685,-532,-173,208,drowning
-5380,916,-12244,157,966,-1095,206,drowning
-5548,1652,-11696,157,908,-1018,206,drowning
-7516,1544,-14936,-1658,-1347,-1589,204,drowning
-8584,2140,-16124,-1872,-1842,-1834,203,drowning
-8408,1660,-16816,677,-3197,-3390,202,drowning
-7056,1480,-15676,-1606,-2325,-2511,203,drowning
-7460,1428,-17840,-340,-3087,-2528,203,drowning
-7764,996,-16492,778,-3967,-1861,203,drowning
-8016,376,-14628,984,-5280,-1011,204,drowning
-7732,536,-12984,1056,-978,446,204,drowning
-8036,1036,-13756,518,-627,266,205,drowning
-7040,1052,-10204,-1084,-1109,532,204,drowning
-8612,1052,-12020,461,-2689,-1358,204,drowning
-10480,1880,-12132,-741,-1537,-579,203,drowning
-11244,1196,-10016,-2601,-3767,-1315,202,drowning
-11944,1756,-15708,1923,-847,-2788,200,drowning
-9676,32,-14636,1557,1406,-594,200,drowning
-9264,76,-15996,1284,-1182,265,200,drowning
-9520,928,-16448,1025,-1265,1010,202,drowning
-10492,1416,-16436,771,-4785,-95,203,drowning
-9760,124,-10468,1687,-6460,-1456,204,drowning
-10096,60,-13216,1453,-2255,-634,205,drowning
-9268,-156,-8416,-1440,-4054,-477,206,drowning
-9152,656,-8992,-196,-2664,169,204,drowning
-10400,1972,-10524,-1402,-7428,-2173,204,drowning
-11972,-24,-5304,-1120,-4200,-2271,203,drowning
-13920,-940,-10276,778,1278,-2010,202,drowning
-13748,4,-12920,-748,1189,-753,203,drowning
-12656,348,-10400,-942,-793,-302,204,drowning
-13128,-292,-12852,1777,-44,-482,204,drowning
-12896,-456,-9332,481,-229,-34,204,drowning
-12648,-128,-10628,-907,1938,429,204,drowning
-12512,-28,-10652,-1204,722,117,205,drowning
-11880,336,-8828,-864,2575,-400,204,drowning
-11080,-60,-8860,-657,2884,-486,202,drowning
-11172,240,-8544,-995,875,-598,202,drowning
